Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,34manipulated3.jpg,1663266955.3026676,2745.529287096033,3926.4684803011633,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.334667,2968.4671831268975,3825.3953695260793,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.3836675,2905.320290638213,3710.376980204065,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.4156682,2708.031734145734,3624.439756665101,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.425668,2708.031734145734,3624.439756665101,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.4476674,2963.0516338052103,3884.3950608448995,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.478667,2697.9691927640038,3890.2833645036512,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.510668,2867.1452655412354,3986.2524764955997,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.542668,3143.339205213522,3923.6183980483597,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.574669,2849.786504726584,3885.794556086803,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.6396675,3088.253051915076,3986.011648370205,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.6716673,2943.485313784794,4114.699541501031,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.7036674,3102.3057307469826,4130.675309555057,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.7356675,3091.255930488913,4055.6261474706685,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.7826679,2938.1377694391313,3919.09870074664,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.8336692,2905.3481090507426,4020.0187456868216,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.84067,2905.3481090507426,4020.0187456868216,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.8476703,3122.096650558805,4168.149957536477,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.8796713,3137.391752140204,4216.492492055066,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.911671,3039.9023299349233,4181.945137772867,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.9436677,2970.5261754832727,4083.043949005959,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.975669,2977.36946995506,3956.4073066651167,-115.93077225882371,143.9699569914992
